period,end_station_id,no_trips
201908,326,5976
201909,545,5971
201911,3641,5968
201910,127,5965
201908,301,5965
201907,518,5953
201909,2003,5953
201910,173,5947
201912,435,5944
201909,503,5941
201909,403,5937
201910,3708,5935
201908,466,5934
201907,442,5930
201907,3233,5923
201907,496,5921
201908,236,5920
201911,499,5914
201908,442,5913
201910,3141,5913
201909,388,5912
201907,3686,5911
201910,492,5907
201909,254,5902
201910,461,5900
201909,453,5895
201910,380,5887
201906,127,5885
201907,297,5874
201908,453,5871
201906,482,5869
201911,3711,5866
201906,496,5865
201910,501,5861
201909,476,5858
201908,387,5849
201909,303,5847
201907,380,5845
201907,3467,5837
201908,3260,5833
201910,494,5823
201908,3141,5822
201907,127,5821
201907,479,5813
201908,377,5805
202001,505,5802
201910,161,5792
201909,3656,5783
201908,494,5782
201910,479,5772
201910,518,5769
201907,472,5757
202005,2006,5752
201907,494,5745
201906,3427,5742
201909,212,5733
201909,474,5722
201908,315,5717
201907,251,5714
201910,466,5712
201911,3263,5711
201910,334,5710
201907,3260,5700
201910,439,5692
201910,326,5679
202001,459,5677
201908,474,5676
201907,236,5673
201908,531,5670
201909,350,5657
201906,307,5657
201907,326,5655
201910,493,5653
201910,336,5651
201910,528,5643
201907,3427,5643
201906,518,5639
201907,478,5638
201908,212,5637
202001,379,5633
201907,520,5633
201907,3141,5627
201911,504,5626
201909,2008,5623
201909,448,5620
201912,402,5619
201911,229,5619
201907,507,5609
201908,3746,5609
201909,304,5597
202002,490,5589
201909,315,5583
201910,450,5580
201910,3244,5578
202001,477,5575
201906,212,5571
201908,509,5570
201907,466,5564
201909,368,5564
201908,403,5548
201906,474,5547
201906,3467,5545
202001,285,5545
201909,401,5540
201910,2003,5539
202005,532,5537
201910,250,5536
201906,326,5536
201907,3687,5528
201906,380,5526
201908,2003,5523
201911,468,5521
202003,497,5517
201908,503,5514
201908,223,5508
201906,501,5506
201909,257,5499
201908,334,5499
201910,545,5498
201911,284,5495
201907,545,5481
201907,377,5479
201908,3656,5478
201906,173,5477
201907,2003,5477
201907,3707,5474
201912,3255,5465
201906,251,5464
201910,3260,5464
201910,474,5460
201910,317,5459
201909,3788,5457
202003,435,5454
201909,493,5453
201908,303,5443
201907,212,5437
201906,478,5435
201911,514,5435
201910,301,5433
201906,297,5429
201908,2008,5421
201906,301,5420
201906,442,5409
201909,487,5409
201907,439,5406
201907,528,5401
201909,450,5397
201910,447,5396
201908,401,5396
201906,479,5392
201909,447,5390
201909,167,5389
201909,361,5389
201911,3435,5386
201908,3708,5385
201911,442,5384
201908,528,5383
201908,530,5382
201906,3016,5381
201908,361,5378
201910,377,5378
201908,317,5378
201906,461,5377
201906,377,5373
201907,434,5372
201910,236,5370
202002,505,5370
201910,312,5365
201907,301,5363
201908,461,5360
201906,3233,5353
202001,3812,5346
201907,3746,5327
201906,236,5325
201908,476,5323
201908,3443,5323
201910,3459,5320
201907,531,5319
201909,526,5319
201907,461,5318
201910,476,5315
202005,3881,5312
201908,545,5308
201911,458,5307
201906,530,5306
201910,2021,5300
201911,3664,5294
201910,3467,5292
202005,3137,5291
201908,257,5278
201911,3707,5269
201906,545,5262
201910,503,5256
201910,520,5255
201908,388,5254
201906,439,5250
201911,446,5249
202001,293,5246
201907,350,5243
201909,3016,5240
202001,523,5237
201907,530,5225
201910,478,5224
201907,3656,5220
201908,350,5216
201909,195,5213
201906,3260,5208
202003,402,5207
201908,304,5201
201906,3687,5199
201908,161,5195
202002,285,5188
201910,530,5186
201909,383,5183
201907,487,5183
201908,448,5182
201907,474,5181
201908,167,5179
201907,303,5172
202002,477,5169
201907,3674,5168
201906,494,5165
201906,3141,5164
202005,358,5163
201910,453,5157
201910,403,5156
201908,3165,5151
201907,388,5147
201906,2003,5147
201906,315,5142
201912,285,5141
201906,388,5138
201909,3167,5138
201909,72,5137
201908,265,5132
201909,2021,5132
202001,3711,5131
201910,3167,5130
201910,3656,5127
201909,520,5125
202001,358,5123
201908,447,5122
201908,3016,5121
201910,350,5120
201908,311,5119
201909,539,5117
201909,305,5115
201908,517,5115
201909,335,5108
201908,412,5102
201907,315,5096
202005,3687,5093
201911,151,5089
202003,3255,5087
201911,486,5084
201909,268,5082
201910,3443,5077
201910,2006,5076
202005,497,5074
201906,507,5071
201907,3016,5070
202002,459,5069
201909,3164,5064
202002,3812,5061
201908,72,5059
201909,387,5053
201909,483,5051
202003,426,5045
202001,3641,5045
201906,447,5040
201907,305,5032
201907,334,5029
201908,450,5028
202005,2008,5028
202005,3374,5027
201908,3461,5027
201909,281,5027
201908,3724,5025
201906,3707,5021
201910,531,5019
201906,528,5015
201910,254,5013
201907,503,5011
201910,3746,5010
201908,526,5009
201908,434,5005
201909,265,4999
202005,3906,4998
201911,281,4998
202002,379,4995
201911,472,4991
202001,492,4990
201911,492,4989
201906,531,4989
201909,484,4984
202002,293,4977
201909,363,4977
201909,311,4973
201911,3233,4971
201911,116,4965
201908,456,4965
201906,3724,4960
201910,401,4960
201907,476,4959
201907,2008,4959
201910,167,4954
201908,3788,4953
201906,350,4952
