period,real_period,user_type,gender,no_trips
201608,4th yr Jun 2016 - May 2017,Customer,Male,6654
201608,4th yr Jun 2016 - May 2017,Subscriber,Female,325662
201608,4th yr Jun 2016 - May 2017,Subscriber,Male,945320
201609,4th yr Jun 2016 - May 2017,Customer,Female,7520
201609,4th yr Jun 2016 - May 2017,Customer,Male,11483
201609,4th yr Jun 2016 - May 2017,Subscriber,Female,354096
201609,4th yr Jun 2016 - May 2017,Subscriber,Male,996350
201610,4th yr Jun 2016 - May 2017,Customer,Female,112
201610,4th yr Jun 2016 - May 2017,Customer,Male,186
201610,4th yr Jun 2016 - May 2017,Subscriber,Female,339434
201610,4th yr Jun 2016 - May 2017,Subscriber,Male,980437
201611,4th yr Jun 2016 - May 2017,Customer,Female,230
201611,4th yr Jun 2016 - May 2017,Customer,Male,323
201611,4th yr Jun 2016 - May 2017,Subscriber,Female,254915
201611,4th yr Jun 2016 - May 2017,Subscriber,Male,774119
201612,4th yr Jun 2016 - May 2017,Customer,Female,47
201612,4th yr Jun 2016 - May 2017,Customer,Male,190
201612,4th yr Jun 2016 - May 2017,Subscriber,Female,163890
201612,4th yr Jun 2016 - May 2017,Subscriber,Male,553808
201701,4th yr Jun 2016 - May 2017,Customer,Female,48
201701,4th yr Jun 2016 - May 2017,Customer,Male,203
201701,4th yr Jun 2016 - May 2017,Subscriber,Female,145291
201701,4th yr Jun 2016 - May 2017,Subscriber,Male,504311
201702,4th yr Jun 2016 - May 2017,Customer,Female,160
201702,4th yr Jun 2016 - May 2017,Customer,Male,229
201702,4th yr Jun 2016 - May 2017,Subscriber,Female,162171
201702,4th yr Jun 2016 - May 2017,Subscriber,Male,526668
201703,4th yr Jun 2016 - May 2017,Customer,Female,80
201703,4th yr Jun 2016 - May 2017,Customer,Male,115
201703,4th yr Jun 2016 - May 2017,Subscriber,Female,145112
201703,4th yr Jun 2016 - May 2017,Subscriber,Male,499828
201704,4th yr Jun 2016 - May 2017,Customer,Female,12785
201704,4th yr Jun 2016 - May 2017,Customer,Male,17398
201704,4th yr Jun 2016 - May 2017,Subscriber,Female,265094
201704,4th yr Jun 2016 - May 2017,Subscriber,Male,788714
201705,4th yr Jun 2016 - May 2017,Customer,Female,11109
201705,4th yr Jun 2016 - May 2017,Customer,Male,18339
201705,4th yr Jun 2016 - May 2017,Subscriber,Female,317136
201705,4th yr Jun 2016 - May 2017,Subscriber,Male,932937
201706,5th yr Jun 2017 - May 2018,Customer,Female,13239
201706,5th yr Jun 2017 - May 2018,Customer,Male,22940
201706,5th yr Jun 2017 - May 2018,Subscriber,Female,374882
201706,5th yr Jun 2017 - May 2018,Subscriber,Male,1048254
201707,5th yr Jun 2017 - May 2018,Customer,Female,17173
201707,5th yr Jun 2017 - May 2018,Customer,Male,29336
