station_id,station_name,station_lat,station_lon,z_score_lat,z_score_lon
3230,Penn Station Valet,40.7513,-73.9969,0.07205559986884162157,-0.07538135736473566034
3309,E 97 St & 3 Ave,40.7859,-73.9486,0.08425900294331551115,-0.06597531144957214280
3612,30 Ave & 21 St,40.7704,-73.9286,0.07879216052555986697,-0.06208046842051892643
3936,W 133 St & 12 Ave,40.8200,-73.9591,0.09628605626237792833,-0.06802010403982508140
3726,Center Blvd & 51 Ave,40.7434,-73.9596,0.06926927373334035776,-0.06811747511555141181
350,Clinton St & Grand St,40.7156,-73.9870,0.05946422733246249273,-0.07345341006535431823
539,Metropolitan Ave & Bedford Ave,40.7153,-73.9602,0.05935841747921560929,-0.06823432040642300830
3559,21 St & 38 Ave,40.7576,-73.9391,0.07427760678702617372,-0.06412526101077186503
278,Concord St & Bridge St,40.6980,-73.9860,0.05325671594197866450,-0.07325866791390165741
3817,Withers St & Kingsland Ave,40.7177,-73.9405,0.06020489630519067678,-0.06439790002280559017
3756,White St & Moore St,40.7045,-73.9351,0.05554926276232780561,-0.06334629240496122175
3407,Union St & Nevins St,40.6791,-73.9877,0.04659069518742500806,-0.07358972957137118081
2009,Catherine St & Monroe St,40.7112,-73.9980,0.05791234948484153567,-0.07559557373133358724
3658,W 18 St & 9 Ave,40.7435,-74.0037,0.06930454368442265224,-0.07670560399461375390
3935,Amsterdam Ave & W 131 St,40.8164,-73.9543,0.09501633802341532711,-0.06708534171285230947
3909,Madison St & Woodward Ave,40.7041,-73.9050,0.05540818295799862769,-0.05748455364623613111
3535,Mt Morris Park W & W 120 St,40.8040,-73.9459,0.09064286408921081177,-0.06544950764064995859
3464,W 37 St & Broadway,40.7523,-73.9877,0.07240829937966456636,-0.07358972957137118081
4007,Riverside Dr & W 138 St,40.8232,-73.9559,0.09741469469701135165,-0.06739692915517656678
3793,Stuyvesant Walk & 1 Av Loop,40.7323,-73.9790,0.06535430916320567065,-0.07189547285373303169
271,Ashland Pl & Hanson Pl,40.6853,-73.9781,0.04877743215452726573,-0.07172020491742563695
3042,Fulton St & Utica Ave,40.6794,-73.9299,0.04669650504067189149,-0.06233363321740738549
3020,NYCBS Test,40.6466,-74.0160,0.03512796108567930253,-0.07910093245748148197
3725,2 Ave & E 72 St,40.7688,-73.9584,0.07822784130824315532,-0.06788378453380821882
417,Barclay St & Church St,40.7129,-74.0102,0.05851193865324054181,-0.07797142797905604922
3964,Brook Ave & E 148 St,40.8144,-73.9154,0.09431093900176943754,-0.05950987202134380363
3762,3 Ave & Carroll St,40.6770,-73.9865,0.04585002621469682401,-0.07335603898962798782
529,W 42 St & 8 Ave,40.7576,-73.9910,0.07427760678702617372,-0.07423237867116496151
3641,Broadway & W 25 St,40.7429,-73.9892,0.06909292397792888537,-0.07388184279855017203
390,Duffield St & Willoughby St,40.6922,-73.9843,0.05121105877920558475,-0.07292760625643213402
173,Broadway & W 49 St,40.7610,-73.9860,0.07547678512382418599,-0.07325866791390165741
3805,E 80 St & Park Ave,40.7762,-73.9598,0.08083781768833294673,-0.06815642354584194397
161,LaGuardia Pl & W 3 St [temporarily removed],40.7292,-73.9981,0.06426094067965454181,-0.07561504794647885332
3202,Newport PATH,40.7272,-74.0338,0.06355554165800865224,-0.08256734275333884454
3211,Newark Ave,40.7215,-74.0463,0.06154515444631786696,-0.08500161964649710477
3097,N Henry St & Richardson St,40.7192,-73.9424,0.06073394557142509396,-0.06476791011056564573
