period,start_station_id,no_trips
201907,494,5984
201910,528,5984
201910,281,5982
201909,531,5981
202001,359,5966
201910,3708,5960
201910,509,5959
201909,254,5957
201907,3687,5941
201911,3812,5940
201910,501,5937
201908,478,5933
202001,505,5930
201912,435,5929
201907,3141,5929
201906,501,5924
201909,336,5916
201909,236,5916
201909,251,5914
201908,439,5913
201908,461,5911
201908,297,5911
201908,3165,5907
201908,326,5907
201909,377,5905
201907,3686,5904
201907,3233,5902
201909,503,5900
201911,491,5895
201910,405,5889
201908,466,5886
201910,479,5884
201906,347,5879
201909,403,5863
201906,127,5853
201910,380,5843
201909,3746,5836
201908,301,5834
201908,236,5820
201907,496,5817
201907,127,5801
201908,474,5799
201910,466,5789
201910,334,5782
201909,3163,5781
201909,450,5776
201909,474,5773
201910,223,5767
201906,496,5754
201908,3260,5749
201909,2008,5747
201909,212,5744
202005,2006,5742
201909,3656,5742
201910,493,5740
201907,507,5719
201906,3427,5712
202002,402,5710
201907,461,5706
201907,3707,5706
201907,472,5705
201908,3164,5694
201906,173,5689
201909,401,5684
201907,297,5681
201909,388,5674
201907,380,5673
201910,474,5665
201910,161,5661
201906,307,5657
201907,479,5643
201910,3686,5641
201909,493,5631
201907,3427,5628
201910,439,5617
201911,504,5615
201907,466,5614
201908,531,5611
201907,478,5611
201910,453,5602
202001,459,5599
201908,377,5594
201907,528,5591
201908,315,5587
201910,250,5586
201908,334,5582
201907,251,5577
201906,461,5576
201906,518,5572
201907,3260,5563
201910,2003,5562
201909,257,5560
202001,379,5558
201907,3164,5548
201908,528,5540
201909,303,5538
202005,532,5538
201910,326,5537
201910,545,5533
202002,490,5532
201909,350,5526
201911,3435,5522
201907,545,5522
201910,3164,5512
201912,497,5511
201906,3707,5506
201906,494,5500
201910,3244,5495
202002,477,5488
201907,520,5482
201908,530,5480
201908,3163,5477
201909,315,5472
201908,401,5471
201909,448,5466
201908,403,5463
201907,326,5453
201908,2008,5452
202003,435,5449
201906,474,5448
201910,347,5447
202002,505,5447
201908,3656,5447
201906,3687,5443
201909,3165,5442
202001,285,5433
201908,503,5431
201906,251,5423
201906,326,5421
201908,2003,5412
201906,479,5410
201908,509,5409
201910,447,5408
201907,3443,5407
201909,3788,5399
201909,368,5388
201910,2021,5388
201906,297,5387
201906,3164,5381
201911,3263,5377
201909,447,5377
201908,476,5371
201910,478,5370
202005,3137,5364
201906,478,5356
201908,545,5355
201909,487,5354
201910,312,5354
201910,476,5352
201908,3708,5349
201908,3746,5348
201910,336,5347
201910,3260,5346
201911,284,5341
201906,212,5340
201908,223,5339
201909,3467,5339
201906,2003,5338
201911,3707,5334
201906,442,5332
201908,212,5331
201909,387,5328
201906,530,5327
201907,301,5316
201907,434,5313
201909,526,5312
201907,2003,5308
201906,380,5305
201906,3141,5300
202005,3881,5300
201912,3255,5295
202001,3711,5293
201909,72,5292
201906,3443,5291
201908,450,5288
201910,503,5288
201909,167,5280
201908,447,5279
201907,377,5278
201910,2006,5274
201911,3164,5273
201906,507,5265
201908,3467,5265
201911,517,5263
202001,358,5251
202002,285,5242
201907,530,5241
202001,3641,5238
202001,523,5232
201910,530,5227
201907,439,5223
201907,3163,5214
201910,317,5214
