age,avg
16,15.8607968641460752
17,15.0123977779367236
18,15.4164550208088785
19,15.0962609210721161
20,14.3818542825477450
21,13.8290288118419314
22,14.1123350769640834
23,13.9251577593021188
24,13.5790196832014427
25,13.3955686149396240
26,13.2497489395028471
27,13.2596444407314434
28,13.3695667248737620
29,13.3548791347130325
30,13.7759670887053090
31,13.3296022121009562
32,13.2875962290439888
33,13.1743044094799156
34,13.1324182089759994
35,13.1033727545163334
36,13.1167563559148751
37,13.0633536547090586
38,13.1799504399794395
39,13.1194396690598644
40,13.0692196844744645
41,13.0212680980723369
42,12.9956042369380462
43,13.0644938727789726
44,13.0478695618412972
45,13.0933974132228299
46,13.0374002342787431
47,13.0741175280797096
48,13.1441508449647539
49,13.2842325695984233
50,13.2596215948045732
51,13.1990349871987352
52,13.1522969747310361
53,13.2015068680271417
54,13.2795177559819015
55,13.1702497643692059
56,13.3511974262958496
57,13.4383663600316419
58,13.5309570256595432
59,13.3842404637723299
60,13.4855969057496142
61,13.6608239878579086
62,13.7433491236298874
63,13.6934692479559041
64,13.6353809229153775
65,13.7717082812447207
66,13.6590802935365900
67,13.7568050872961527
68,13.7224275241677083
69,13.7104135232932317
70,13.6406038935240366
71,13.4595942261121599
72,13.7433280269688173
73,13.6046518419016192
74,13.0339175961757341
75,13.2412658405096968
76,13.7135806576831365
77,13.6505933961301731
78,13.6896330320541315
79,12.6109233369181134
80,13.8913700860665271
