bike_id,avg_miles,total_aprox_miles,no_trips
14877,1.2925747126436782,449.81600,348
14878,1.3129601600000000,328.24004,250
14879,1.3157800000000000,60.52588,46
14881,1.4411495092024540,234.90737,163
14882,1.3326921634615385,554.39994,416
14883,1.2981292660550459,282.99218,218
14886,1.2943037125748503,432.29744,334
14887,1.3793433096085409,387.59547,281
14888,1.2300938345864662,327.20496,266
14889,1.7056462857142857,119.39524,70
14890,1.3216257180156658,506.18265,383
14891,1.1734897472924188,325.05666,277
14893,1.1855241176470588,322.46256,272
14895,1.2095047881355932,285.44313,236
14899,1.2423133431085044,423.62885,341
14900,1.3392964983164983,397.77106,297
14901,1.2206149618320611,159.90056,131
14903,1.2561527894736842,238.66903,190
14904,1.3729262034739454,553.28926,403
14905,1.2814351428571429,134.55069,105
14907,1.3123722112211221,397.64878,303
14908,1.2847369651741294,516.46426,402
14909,1.3374339426523297,373.14407,279
14910,1.1646566108786611,278.35293,239
14911,1.2099588837209302,260.14116,215
14912,1.2385092447129909,409.94656,331
14913,1.2801694968553459,203.54695,159
14914,1.2652835080645161,313.79031,248
14915,1.3004104123711340,504.55924,388
14916,1.3552400534759358,506.85978,374
14920,1.2118931761006289,385.38203,318
14922,1.3403138834951456,414.15699,309
14923,1.2995118430034130,380.75697,293
14924,1.3013701892744479,412.53435,317
14926,1.4758583760683761,172.67543,117
14927,1.1939830208333333,343.86711,288
14928,1.2338392253521127,350.41034,284
14929,1.1700293382352941,318.24798,272
14930,1.1802527586206897,308.04597,261
14931,1.3298000000000000,372.34400,280
14934,1.2473871865443425,407.89561,327
14935,1.3382191390728477,404.14218,302
14936,1.3679241642228739,466.46214,341
14937,1.2719450000000000,518.95356,408
14938,1.2331894369973190,459.97966,373
14939,1.2161701294498382,375.79657,309
14940,2.2590200000000000,13.55412,6
14941,1.3295511210762332,296.48990,223
14942,1.2588008518518519,339.87623,270
14943,1.2689681069958848,308.35925,243
14944,1.3960175138121547,505.35834,362
14945,1.2582819565217391,115.76194,92
14946,1.1917682014388489,165.65578,139
14947,1.2198401760563380,346.43461,284
14950,1.3491764011799410,457.37080,339
14956,1.3663111228070175,389.39867,285
14957,1.2766859405940594,386.83584,303
14958,1.1942162096774194,444.24843,372
14959,1.1474285407725322,267.35085,233
14962,1.3689193430656934,375.08390,274
14963,1.4615007575757576,96.45905,66
14965,1.3055678333333333,470.00442,360
14967,1.3858998214285714,310.44156,224
14970,1.2131261403508772,345.74095,285
14972,1.3644612500000000,218.31380,160
14973,1.2486673750000000,399.57356,320
14974,1.2458127131782946,321.41968,258
14975,0.97913171428571428571,171.34805,175
14977,1.2554341504854369,517.23887,412
14978,1.3084514929577465,464.50028,355
14979,1.3552748375451264,375.41113,277
14982,1.2187797777777778,274.22545,225
14983,1.1782931549295775,418.29407,355
14986,1.2860590376569038,307.36811,239
14988,1.2756916568047337,215.59189,169
14990,1.3044916959064327,446.13616,342
14991,1.2300530827067669,327.19412,266
14992,1.4156097590361446,117.49561,83
14993,1.2823893248945148,303.92627,237
14994,1.3578450836120401,405.99568,299
14995,1.2753957819905213,538.21702,422
14996,1.2631688343558282,411.79304,326
14997,1.4803945814977974,336.04957,227
15000,1.2364535737704918,377.11834,305
15001,1.2930542007434944,347.83158,269
15003,1.5421786666666667,161.92876,105
15004,1.1567010843373494,192.01238,166
15005,1.2367387306501548,399.46661,323
15007,1.3935169677419355,431.99026,310
15008,1.2888665292096220,375.06016,291
15009,1.5332913836477987,487.58666,318
